   1293.860    0.785    0.867 
   1293.870    0.845    0.871 
   1293.880    0.894    0.875 
   1293.890    0.872    0.879 
   1293.900    0.907    0.883 
   1293.910    0.895    0.887 
   1293.920    0.887    0.891 
   1293.930    0.892    0.896 
   1293.940    0.913    0.901 
   1293.950    0.966    0.906 
   1293.960    1.005    0.911 
   1293.970    0.966    0.916 
   1293.980    0.955    0.922 
   1293.990    0.988    0.928 
   1294.000    0.975    0.933 
   1294.010    0.988    0.939 
   1294.020    1.000    0.944 
   1294.030    0.957    0.949 
   1294.040    0.942    0.954 
   1294.050    0.972    0.959 
   1294.060    0.995    0.963 
   1294.070    1.030    0.967 
   1294.080    1.029    0.971 
   1294.090    0.985    0.974 
   1294.100    1.014    0.977 
   1294.110    1.044    0.980 
   1294.120    0.994    0.982 
   1294.130    0.999    0.984 
   1294.140    0.935    0.985 
   1294.150    0.933    0.986 
   1294.160    0.968    0.987 
   1294.170    0.985    0.987 
   1294.180    0.985    0.987 
   1294.190    0.972    0.988 
   1294.200    1.057    0.988 
   1294.210    1.039    0.988 
   1294.220    0.974    0.987 
   1294.230    0.971    0.987 
   1294.240    0.943    0.987 
   1294.250    0.913    0.986 
   1294.260    0.898    0.985 
   1294.270    0.899    0.985 
   1294.280    0.952    0.983 
   1294.290    0.990    0.982 
   1294.300    0.935    0.980 
   1294.310    0.923    0.978 
   1294.320    0.942    0.975 
   1294.330    0.938    0.971 
   1294.340    0.954    0.966 
   1294.350    0.945    0.961 
   1294.360    0.917    0.954 
   1294.370    0.907    0.947 
   1294.380    0.894    0.938 
   1294.390    0.862    0.929 
   1294.400    0.846    0.920 
   1294.410    0.829    0.911 
   1294.420    0.777    0.902 
   1294.430    0.782    0.893 
   1294.440    0.819    0.885 
   1294.450    0.819    0.877 
   1294.460    0.781    0.870 
   1294.470    0.799    0.864 
   1294.480    0.802    0.859 
   1294.490    0.787    0.854 
   1294.500    0.799    0.850 
   1294.510    0.819    0.847 
   1294.520    0.766    0.844 
   1294.530    0.745    0.843 
   1294.540    0.797    0.842 
   1294.550    0.827    0.842 
   1294.560    0.816    0.843 
   1294.570    0.770    0.844 
   1294.580    0.851    0.847 
   1294.590    0.878    0.850 
   1294.600    0.882    0.854 
   1294.610    0.863    0.858 
   1294.620    0.883    0.864 
   1294.630    0.879    0.870 
   1294.640    0.879    0.877 
   1294.650    0.899    0.884 
   1294.660    0.875    0.893 
   1294.670    0.934    0.901 
   1294.680    0.957    0.911 
   1294.690    0.985    0.920 
   1294.700    0.934    0.929 
   1294.710    0.909    0.938 
   1294.720    1.000    0.946 
   1294.730    1.029    0.954 
   1294.740    0.998    0.961 
   1294.750    0.899    0.966 
   1294.760    0.923    0.971 
   1294.770    0.952    0.974 
   1294.780    0.927    0.977 
   1294.790    0.967    0.980 
   1294.800    0.911    0.982 
   1294.810    0.871    0.983 
   1294.820    0.876    0.984 
   1294.830    0.908    0.985 
   1294.840    0.923    0.986 
   1294.850    0.979    0.986 
   1294.860    0.904    0.987 
   1294.870    0.955    0.987 
   1294.880    0.955    0.987 
   1294.890    0.979    0.987 
   1294.900    0.940    0.987 
   1294.910    0.938    0.987 
   1294.920    1.025    0.987 
   1294.930    1.022    0.986 
   1294.940    0.931    0.985 
   1294.950    0.972    0.984 
   1294.960    1.021    0.983 
   1294.970    1.054    0.981 
   1294.980    1.079    0.979 
   1294.990    1.002    0.977 
   1295.000    1.048    0.974 
   1295.010    1.086    0.970 
   1295.020    1.040    0.966 
   1295.030    1.055    0.962 
   1295.040    0.993    0.958 
   1295.050    1.002    0.953 
   1295.060    1.050    0.948 
   1295.070    1.005    0.943 
   1295.080    0.904    0.938 
   1295.090    0.928    0.932 
   1295.100    0.937    0.927 
   1295.110    0.907    0.921 
   1295.120    0.977    0.916 
   1295.130    0.960    0.910 
   1295.140    0.989    0.905 
   1295.150    0.876    0.900 
   1295.160    0.901    0.895 
   1295.170    0.794    0.890 
   1295.180    0.876    0.886 
   1295.190    0.868    0.882 
   1295.200    0.830    0.878 
   1295.210    0.870    0.874 
   1295.220    0.870    0.870 
   1295.230    0.832    0.866 
   1295.240    0.795    0.862 
   1295.250    0.879    0.858 
   1295.260    0.828    0.855 
   1295.270    0.853    0.852 
   1295.280    0.792    0.850 
   1295.290    0.840    0.849 
   1295.300    0.807    0.849 
   1295.310    0.810    0.849 
   1295.320    0.831    0.850 
   1295.330    0.824    0.852 
   1295.340    0.850    0.854 
   1295.350    0.865    0.857 
   1295.360    0.886    0.860 
   1295.370    0.824    0.864 
   1295.380    0.860    0.869 
   1295.390    0.910    0.875 
   1295.400    0.900    0.882 
   1295.410    0.857    0.889 
   1295.420    0.881    0.896 
   1295.430    0.954    0.904 
   1295.440    0.934    0.911 
   1295.450    0.923    0.919 
   1295.460    0.974    0.926 
   1295.470    0.934    0.933 
   1295.480    0.897    0.940 
   1295.490    0.839    0.946 
   1295.500    0.841    0.953 
   1295.510    0.950    0.959 
   1295.520    0.943    0.964 
   1295.530    0.870    0.969 
   1295.540    0.986    0.972 
   1295.550    1.007    0.976 
   1295.560    0.854    0.978 
   1295.570    0.860    0.980 
   1295.580    0.890    0.981 
   1295.590    0.880    0.983 
   1295.600    0.833    0.983 
   1295.610    0.948    0.984 
   1295.620    0.961    0.984 
   1295.630    0.923    0.985 
   1295.640    0.885    0.985 
   1295.650    0.935    0.985 
   1295.660    0.914    0.984 
   1295.670    0.906    0.984 
   1295.680    0.900    0.983 
   1295.690    0.939    0.982 
   1295.700    0.918    0.981 
   1295.710    0.935    0.979 
   1295.720    0.876    0.977 
   1295.730    0.893    0.974 
   1295.740    0.862    0.970 
   1295.750    0.969    0.966 
   1295.760    0.960    0.961 
   1295.770    0.880    0.955 
   1295.780    0.840    0.949 
   1295.790    0.911    0.943 
   1295.800    0.905    0.936 
   1295.810    0.919    0.929 
   1295.820    0.993    0.923 
   1295.830    0.919    0.916 
   1295.840    0.936    0.909 
   1295.850    0.930    0.901 
   1295.860    0.930    0.894 
   1295.870    0.865    0.887 
   1295.880    0.925    0.881 
   1295.890    0.806    0.876 
   1295.900    0.930    0.871 
   1295.910    0.835    0.867 
   1295.920    0.817    0.864 
   1295.930    0.954    0.862 
   1295.940    0.836    0.860 
   1295.950    0.866    0.859 
   1295.960    0.842    0.858 
   1295.970    0.860    0.857 
   1295.980    0.854    0.857 
   1295.990    0.930    0.859 
   1296.000    0.855    0.861 
   1296.010    0.871    0.864 
   1296.020    1.011    0.867 
   1296.030    0.963    0.871 
   1296.040    0.955    0.875 
   1296.050    0.973    0.879 
   1296.060    0.983    0.882 
   1296.070    0.922    0.886 
   1296.080    0.995    0.890 
   1296.090    0.906    0.893 
   1296.100    0.998    0.898 
   1296.110    0.972    0.902 
   1296.120    0.888    0.907 
   1296.130    0.860    0.912 
   1296.140    0.908    0.917 
   1296.150    0.969    0.922 
   1296.160    0.964    0.927 
   1296.170    1.005    0.932 
   1296.180    1.059    0.938 
   1296.190    0.994    0.943 
   1296.200    0.977    0.948 
   1296.210    1.001    0.953 
   1296.220    0.918    0.957 
   1296.230    0.943    0.962 
   1296.240    0.988    0.966 
   1296.250    0.993    0.970 
   1296.260    0.984    0.973 
   1296.270    0.999    0.976 
   1296.280    0.960    0.979 
   1296.290    0.962    0.981 
   1296.300    1.008    0.983 
   1296.310    0.991    0.985 
   1296.320    1.010    0.986 
   1296.330    0.969    0.987 
   1296.340    1.024    0.987 
