1391.7500 1.0201 0.9781
1391.7600 0.9475 0.9778
1391.7700 0.9797 0.9774
1391.7800 1.0230 0.9770
1391.7900 0.9413 0.9767
1391.8000 0.8573 0.9763
1391.8100 0.8364 0.9759
1391.8200 1.0044 0.9755
1391.8300 1.0455 0.9750
1391.8400 0.9134 0.9746
1391.8500 0.9680 0.9741
1391.8600 0.8779 0.9737
1391.8700 0.9252 0.9732
1391.8800 0.9595 0.9726
1391.8900 0.9294 0.9721
1391.9000 0.9722 0.9715
1391.9100 1.0558 0.9709
1391.9200 0.8860 0.9703
1391.9300 0.8454 0.9696
1391.9400 0.7823 0.9689
1391.9500 1.0608 0.9682
1391.9600 0.8836 0.9674
1391.9700 0.9324 0.9665
1391.9800 0.9263 0.9656
1391.9900 0.9246 0.9645
1392.0000 0.9835 0.9634
1392.0100 0.9090 0.9621
1392.0200 0.9448 0.9608
1392.0300 0.9289 0.9593
1392.0400 0.9003 0.9577
1392.0500 0.9378 0.9560
1392.0600 0.9056 0.9543
1392.0700 0.9832 0.9527
1392.0800 0.8495 0.9512
1392.0900 0.8504 0.9499
1392.1000 0.9313 0.9488
1392.1100 0.9459 0.9479
1392.1200 0.8857 0.9472
1392.1300 0.8207 0.9466
1392.1400 0.9851 0.9460
1392.1500 0.8686 0.9454
1392.1600 0.8250 0.9447
1392.1700 0.9018 0.9437
1392.1800 0.8909 0.9424
1392.1900 0.9651 0.9409
1392.2000 0.9301 0.9392
1392.2100 1.0165 0.9374
1392.2200 0.9544 0.9355
1392.2300 0.8974 0.9337
1392.2400 0.8924 0.9319
1392.2500 0.8693 0.9303
1392.2600 0.8665 0.9287
1392.2700 0.8926 0.9272
1392.2800 0.8889 0.9258
1392.2900 0.8748 0.9243
1392.3000 0.8297 0.9229
1392.3100 0.8717 0.9214
1392.3200 0.8841 0.9198
1392.3300 0.9535 0.9180
1392.3400 0.9063 0.9161
1392.3500 0.8472 0.9139
1392.3600 0.8915 0.9115
1392.3700 0.8521 0.9090
1392.3800 0.8257 0.9065
1392.3900 0.8357 0.9040
1392.4000 0.8692 0.9017
1392.4100 0.8879 0.8996
1392.4200 0.8585 0.8978
1392.4300 0.8843 0.8962
1392.4400 0.8429 0.8949
1392.4500 0.8512 0.8937
1392.4600 1.0052 0.8924
1392.4700 0.8643 0.8910
1392.4800 0.9675 0.8895
1392.4900 1.0154 0.8876
1392.5000 0.9232 0.8854
1392.5100 0.8095 0.8830
1392.5200 0.9329 0.8804
1392.5300 0.9383 0.8777
1392.5400 0.9200 0.8748
1392.5500 0.9017 0.8719
1392.5600 0.9502 0.8690
1392.5700 1.0199 0.8661
1392.5800 1.0128 0.8633
1392.5900 0.9568 0.8605
1392.6000 0.9070 0.8576
1392.6100 0.9317 0.8547
1392.6200 0.9534 0.8517
1392.6300 1.0009 0.8486
1392.6400 0.8765 0.8452
1392.6500 0.8489 0.8417
1392.6600 0.8400 0.8379
1392.6700 0.8972 0.8338
1392.6800 0.8318 0.8296
1392.6900 0.8765 0.8253
1392.7000 0.8263 0.8208
1392.7100 0.7968 0.8163
1392.7200 0.8521 0.8118
1392.7300 0.7684 0.8074
1392.7400 0.8160 0.8032
1392.7500 0.7640 0.7992
1392.7600 0.8083 0.7955
1392.7700 0.7321 0.7922
1392.7800 0.7042 0.7891
1392.7900 0.7140 0.7864
1392.8000 0.7674 0.7840
1392.8100 0.7863 0.7816
1392.8200 0.8977 0.7794
1392.8300 0.9007 0.7771
1392.8400 0.8616 0.7748
1392.8500 0.8337 0.7725
1392.8600 0.7231 0.7703
1392.8700 0.8609 0.7683
1392.8800 0.8082 0.7666
1392.8900 0.6937 0.7653
1392.9000 0.7187 0.7644
1392.9100 0.8087 0.7639
1392.9200 0.8839 0.7638
1392.9300 0.8320 0.7640
1392.9400 0.8252 0.7645
1392.9500 0.8160 0.7652
1392.9600 0.8044 0.7661
1392.9700 0.7234 0.7671
1392.9800 0.7477 0.7680
1392.9900 0.7890 0.7688
1393.0000 0.7984 0.7692
1393.0100 0.7821 0.7691
1393.0200 0.7452 0.7682
1393.0300 0.7703 0.7667
1393.0400 0.7788 0.7645
1393.0500 0.7001 0.7618
1393.0600 0.7624 0.7588
1393.0700 0.7662 0.7557
1393.0800 0.7604 0.7527
1393.0900 0.8601 0.7499
1393.1000 0.7890 0.7473
1393.1100 0.7714 0.7448
1393.1200 0.7776 0.7425
1393.1300 0.7204 0.7404
1393.1400 0.7295 0.7385
1393.1500 0.7194 0.7368
1393.1600 0.6976 0.7355
1393.1700 0.7399 0.7347
1393.1800 0.7473 0.7343
1393.1900 0.7693 0.7343
1393.2000 0.6962 0.7348
1393.2100 0.6755 0.7357
1393.2200 0.7254 0.7368
1393.2300 0.8110 0.7382
1393.2400 0.7308 0.7397
1393.2500 0.6739 0.7414
1393.2600 0.6961 0.7431
1393.2700 0.7754 0.7448
1393.2800 0.7445 0.7464
1393.2900 0.8273 0.7480
1393.3000 0.8571 0.7494
1393.3100 0.7827 0.7506
1393.3200 0.7957 0.7517
1393.3300 0.7299 0.7526
1393.3400 0.6426 0.7533
1393.3500 0.8153 0.7536
1393.3600 0.9373 0.7534
1393.3700 0.8591 0.7525
1393.3800 0.7942 0.7508
1393.3900 0.8366 0.7483
1393.4000 0.8271 0.7451
1393.4100 0.8377 0.7412
1393.4200 0.7625 0.7368
1393.4300 0.7500 0.7320
1393.4400 0.7564 0.7269
1393.4500 0.7623 0.7214
1393.4600 0.7611 0.7157
1393.4700 0.7391 0.7099
1393.4800 0.6712 0.7040
1393.4900 0.6478 0.6983
1393.5000 0.7503 0.6930
1393.5100 0.7187 0.6885
1393.5200 0.6729 0.6848
1393.5300 0.6873 0.6823
1393.5400 0.7349 0.6810
1393.5500 0.7228 0.6811
1393.5600 0.7153 0.6826
1393.5700 0.7035 0.6854
1393.5800 0.6724 0.6894
1393.5900 0.6908 0.6946
1393.6000 0.7042 0.7008
1393.6100 0.7355 0.7078
1393.6200 0.7851 0.7154
1393.6300 0.7334 0.7236
1393.6400 0.7103 0.7321
1393.6500 0.8375 0.7407
1393.6600 0.8803 0.7494
1393.6700 0.8057 0.7578
1393.6800 0.8038 0.7660
1393.6900 0.8150 0.7735
1393.7000 0.7724 0.7804
1393.7100 0.7318 0.7863
1393.7200 0.7318 0.7912
1393.7300 0.7286 0.7950
1393.7400 0.7530 0.7975
1393.7500 0.7741 0.7988
1393.7600 0.7908 0.7988
1393.7700 0.7745 0.7975
1393.7800 0.7547 0.7950
1393.7900 0.8047 0.7912
1393.8000 0.7856 0.7863
1393.8100 0.7804 0.7804
1393.8200 0.8322 0.7735
1393.8300 0.8031 0.7660
1393.8400 0.7721 0.7578
1393.8500 0.7165 0.7494
1393.8600 0.7491 0.7407
1393.8700 0.7777 0.7321
1393.8800 0.7557 0.7236
1393.8900 0.6978 0.7154
1393.9000 0.6991 0.7078
1393.9100 0.7388 0.7008
1393.9200 0.7361 0.6946
1393.9300 0.7237 0.6894
1393.9400 0.7088 0.6854
1393.9500 0.6868 0.6826
1393.9600 0.7115 0.6811
1393.9700 0.6723 0.6810
1393.9800 0.6562 0.6823
1393.9900 0.6231 0.6848
1394.0000 0.6379 0.6885
1394.0100 0.6993 0.6930
1394.0200 0.7055 0.6983
1394.0300 0.6935 0.7040
1394.0400 0.7425 0.7099
1394.0500 0.7914 0.7157
1394.0600 0.7965 0.7214
1394.0700 0.8379 0.7268
1394.0800 0.8359 0.7320
1394.0900 0.7622 0.7368
1394.1000 0.7320 0.7412
1394.1100 0.7442 0.7450
1394.1200 0.7052 0.7483
1394.1300 0.7662 0.7508
1394.1400 0.7960 0.7524
1394.1500 0.7919 0.7534
1394.1600 0.7300 0.7536
1394.1700 0.7547 0.7533
1394.1800 0.8116 0.7526
1394.1900 0.8130 0.7517
1394.2000 0.7770 0.7506
1394.2100 0.8172 0.7493
1394.2200 0.7340 0.7479
1394.2300 0.7089 0.7464
1394.2400 0.7329 0.7448
1394.2500 0.7123 0.7431
1394.2600 0.7337 0.7414
1394.2700 0.7907 0.7397
1394.2800 0.7585 0.7382
1394.2900 0.7364 0.7368
1394.3000 0.7914 0.7356
1394.3100 0.7770 0.7348
1394.3200 0.7810 0.7343
1394.3300 0.7537 0.7342
1394.3400 0.7269 0.7346
1394.3500 0.7726 0.7355
1394.3600 0.7652 0.7368
1394.3700 0.7928 0.7384
1394.3800 0.7741 0.7404
1394.3900 0.7688 0.7425
1394.4000 0.8068 0.7447
1394.4100 0.8233 0.7472
1394.4200 0.8199 0.7498
1394.4300 0.9075 0.7527
1394.4400 0.8121 0.7557
1394.4500 0.7582 0.7588
1394.4600 0.7445 0.7617
1394.4700 0.7642 0.7644
1394.4800 0.7855 0.7666
1394.4900 0.7229 0.7681
1394.5000 0.8007 0.7690
1394.5100 0.8326 0.7691
1394.5200 0.7700 0.7687
1394.5300 0.8294 0.7679
1394.5400 0.8550 0.7670
1394.5500 0.8209 0.7660
1394.5600 0.8095 0.7651
1394.5700 0.8307 0.7644
1394.5800 0.8760 0.7639
1394.5900 0.8411 0.7637
1394.6000 0.8234 0.7638
1394.6100 0.8405 0.7642
1394.6200 0.8159 0.7651
