ID,ra,dec,pmRA,pmDEC,Tmag
257487678,0.467013867377066,0.11239349235584,8.79115,-28.0384,17.2433
300908788,0.987214436167032,-5.05911467161082,12.8521,-4.27413,17.1863
300931186,1.37941867716535,-5.72864864595069,87.0061,-13.3095,15.3584
300941758,1.49942626598397,-5.73777316609555,21.07,-10.07,16.8209
58733472,3.41312813588018,0.323495411271336,421.384,-183.809,15.2663
244135349,4.45520426878134,-0.165414139561923,-41.3857,-9.20211,16.5557
423356286,5.43242863663328,-0.25219750866186,13.025,-6.18592,16.482
37774360,5.49128430923686,-11.0587814619127,9.81724,-56.8067,16.5344
293372732,5.50018968068008,0.697075439715885,-3.06365,-4.67113,16.2551
336690924,6.44621002910861,13.6915580407785,9.18749,21.2438,17.7161
336693494,6.58505604585806,14.735988457461,26.0,-40.0,16.6536
284078168,6.95835109900526,-0.173185816868191,76.431,-21.6693,16.6462
244177481,7.33863434548717,-0.342440082778015,8.4994,-27.124,17.3267
257342896,8.40206814491135,0.697634411324613,-34.0921,-57.5432,16.7127
212954475,8.56743641318661,-0.147202678947977,-0.70854,-4.47367,17.0879
408515452,9.01075269348028,7.01306401078971,0.0,0.0,16.1166
429035195,9.5183752662983,8.57147680248195,3.34543,-66.3131,15.4016
328031590,9.73669145582693,1.11418071973472,-20.2844,-47.4831,16.2457
212981359,9.76815372664107,-0.701887568977374,10.8,-8.4689,17.2175
213005148,10.1587930483039,-0.94646824531223,-50.4932,-53.8189,15.2858
429034131,10.8302438244178,16.0388720424847,-8.78898,-27.0267,15.9894
333602908,12.5341986689635,-0.0663791835847981,28.731,0.970758,17.2849
333608839,13.0351197734474,-0.859623326593224,-31.9402,-28.3318,16.178
333640393,13.1879765191168,-0.893659072542575,1.20268,-22.0117,17.853
344587655,13.2279928765418,0.985702491865052,48.14,-62.64,14.7252
333640674,13.3002748290601,-0.53563061178292,-28.9322,-59.4173,14.9891
344625739,13.5773169701045,0.962803523053294,25.8508,-15.376,17.7433
344659513,15.0374645102369,1.14274245195271,10.1604,-0.839279,15.6604
269593942,16.2020958935044,-1.08795328072097,23.9091,-55.784,15.7304
380884474,16.2060418400781,7.3256694285312,-7.59073,-37.7857,15.81
365005340,16.7691157335433,0.985630975106988,26.3023,-43.6172,17.4991
384888866,16.994910665312,16.1183494050617,80.9175,-21.075,16.1761
610984665,17.5196192411276,7.28407751413583,15.1725,-4.95218,18.8267
408253347,17.5378943236695,13.4378837547795,46.4432,-30.9523,16.8164
248353420,17.6749661404304,-1.14421270066128,99.4698,-35.7112,14.8862
336891566,17.8495571695788,0.159771698591352,19.1076,-42.8504,17.0372
248950822,21.0129955408439,-0.383666042565227,19.0756,-10.1159,16.282
630599688,23.8873968048488,14.765527653509,-131.56,-150.764,16.7112
262840340,24.4584671854451,0.543819361513572,-1.20807,1.69955,15.0165
241444875,24.7142086445344,-0.272744339110843,332.804,35.3507,14.9068
241631477,25.965523041962,-1.13597601132016,4.6422,8.20736,17.6572
293433535,26.3637101306289,0.332718380100712,20.9763,-24.778,15.4468
241766570,26.9375792194324,-0.819753146333563,29.154,20.533,17.1867
427543797,28.5223404523253,-0.409607381864324,4.10958,-21.3287,17.1277
419955987,30.9637148621435,0.67362005642161,10.4973,-3.10998,17.1963
306350271,31.9839117704626,21.6742986156605,53.6039,-2.63114,16.7529
270430230,33.5473274944429,1.25921675155564,10.4585,-7.76441,17.921
419995071,34.4268698114511,0.895232022087455,7.72149,-17.4156,16.1908
377058840,45.4092954294833,5.03857261279541,36.9367,19.2928,16.8134
445920585,57.3070419048331,8.96969811040669,7.58077,-7.15892,17.7312
125975957,71.0009552503337,24.9561554521724,4.08121,-23.1599,16.0045
416353073,81.6022624087804,62.2289876898713,1.91323,-13.1365,15.1181
289938902,97.9133732653023,82.4744562266557,-0.0373763,4.68292,18.0213
15833340,100.424120138684,37.2962960386793,1.96792,-1.50595,16.4848
15862133,100.552981570048,38.2774960152027,-0.42,-69.15,17.213
16480551,102.053211511242,38.1683073032514,-6.16165,-8.40827,17.0474
