                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "12778"          1.7999999999999999E-001          4.4000000000000000E-001          2.8699999999999998E-001                       "gfortran"                          "9.2.0"            "x86_64-linux-20.3.2"                       "20200727" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                             120          3.8287155083141665E+009          2.1814126111419624E-001          1.2999976188951177E+000          2.1405659354813767E+002          8.7568606451510846E+001          3.9625717886703177E-001          5.9523451324817855E-001         -5.0895478360558510E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          6.9345595516898409E+050         -7.7074764986460204E+032          0.0000000000000000E+000         -3.1204358294113442E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             125          3.9701203660447016E+009          2.1484240967781573E-001          1.2868581785059028E+000          2.1514662851086695E+002          8.8014529845354645E+001          3.9225209646930631E-001          5.8921831114845868E-001         -5.0377544242631966E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          6.8994257807598047E+050         -7.9864495684213860E+032          0.0000000000000000E+000         -3.2333803920734354E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             130          4.1058944401463246E+009          2.1159344527676144E-001          1.2738515421243510E+000          2.1624221423099308E+002          8.8462724003588079E+001          3.8828749456220174E-001          5.8326291649000606E-001         -4.9854517172585139E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          6.8644700141933565E+050         -8.2755201031288248E+032          0.0000000000000000E+000         -3.3504129972181476E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             135          4.2362619501033168E+009          2.0839361349200550E-001          1.2609763674631251E+000          2.1734337897449709E+002          8.8913200489566975E+001          3.8436296399805042E-001          5.7736771467496451E-001         -4.9326453639043583E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          6.8296913501358815E+050         -8.5750535817665143E+032          0.0000000000000000E+000         -3.4716816120512200E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             140          4.3614381869131908E+009          2.0524217131325717E-001          1.2482313258017623E+000          2.1845015115129831E+002          8.9365970925531130E+001          3.8047809976455554E-001          5.7153209731739074E-001         -4.8793341403511764E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          6.7950888913019887E+050         -8.8854287118903433E+032          0.0000000000000000E+000         -3.5973395594697741E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             145          4.4816298686217022E+009          2.0213838696643346E-001          1.2356151018495500E+000          2.1956255931598716E+002          8.9821046992903831E+001          3.7663250094299200E-001          5.6575546218046824E-001         -4.8255105702890627E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          6.7606617449523598E+050         -9.2070379084233080E+032          0.0000000000000000E+000         -3.7275457119122700E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             150          4.5970354817003345E+009          1.9908153974373968E-001          1.2231263936097887E+000          2.2068063216856171E+002          9.0278440432593399E+001          3.7282577066683414E-001          5.6003721311435783E-001         -4.7711702072404621E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          6.7264090228707196E+050         -9.5402877897952809E+032          0.0000000000000000E+000         -3.8624646922248095E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             155          4.7078456088300610E+009          1.9607091983631797E-001          1.2107639122454226E+000          2.2180439855516840E+002          9.0738163045296147E+001          3.6905751608079612E-001          5.5437675999467273E-001         -4.7162995541013752E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          6.6923298413409166E+050         -9.8855996920407350E+032          0.0000000000000000E+000         -4.0022670817978682E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             160          4.8142432436326227E+009          1.9310582816942828E-001          1.1985263819460341E+000          2.2293388746884639E+002          9.1200226691800779E+001          3.6532734830029134E-001          5.4877351866157908E-001         -4.6608986876455549E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          6.6584233211241244E+050         -1.0243410201504308E+033          0.0000000000000000E+000         -4.1471296362365618E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             165          4.9164040928691378E+009          1.9018557624012156E-001          1.1864125397961807E+000          2.2406912805027486E+002          9.1664643293294262E+001          3.6163488237129887E-001          5.4322691085951114E-001         -4.6049777516664975E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          6.6246885874361602E+050         -1.0614171706827607E+033          0.0000000000000000E+000         -4.2972355088370871E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             170          5.0144968666050701E+009          1.8730948595736588E-001          1.1744211356450573E+000          2.2521014958852592E+002          9.2131424831669690E+001          3.5797973723063553E-001          5.3773636417749293E-001         -4.5485218063165611E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          6.5911247699249107E+050         -1.0998352970915368E+033          0.0000000000000000E+000         -4.4527744821519707E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
