MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1001056058075,13.65,0.05,157.14542,-0.00827,53464.22959,0
1001056058075,13.64,0.05,157.14541,-0.00827,53464.23789,0
1001056058075,13.65,0.05,157.14542,-0.00827,53464.24639,0
1001056058075,13.64,0.05,157.14542,-0.00826,53464.25448,0
1001056058075,13.64,0.05,157.14545,-0.00825,53712.48699,0
1001056058075,13.63,0.05,157.14545,-0.00827,53712.49567,0
1001056058075,13.65,0.05,157.14544,-0.00827,53729.43948,0
1001056058075,13.65,0.05,157.14544,-0.00827,53729.44886,0
1001056058075,13.66,0.05,157.14543,-0.00827,53729.46758,0
1001056058075,13.65,0.05,157.14551,-0.00827,53526.16053,0
1001056058075,13.65,0.05,157.14548,-0.00826,53526.16706,0
1001056058075,13.65,0.05,157.14549,-0.00825,53526.17356,0
1001056058075,13.65,0.05,157.14550,-0.00825,53526.18005,0
1001056058075,13.67,0.05,157.14543,-0.00829,53494.20697,0
1001056058075,13.67,0.05,157.14541,-0.00830,53494.21508,0
1001056058075,13.67,0.05,157.14543,-0.00827,53494.22319,0
1001056058075,13.66,0.05,157.14544,-0.00828,53494.23124,0
1001056058075,13.63,0.05,157.14549,-0.00827,53845.23767,0
1001056058075,13.63,0.05,157.14547,-0.00823,53845.24573,0
1001056058075,13.64,0.05,157.14548,-0.00828,53845.25377,0
1001056058075,13.64,0.05,157.14548,-0.00829,53845.26181,0
1001056058075,13.66,0.05,157.14543,-0.00826,53852.13100,0
1001056058075,13.65,0.05,157.14543,-0.00826,53852.13862,0
1001056058075,13.66,0.05,157.14544,-0.00827,53852.14621,0
1001056058075,13.65,0.05,157.14543,-0.00826,53852.15380,0
1001056058075,13.65,0.05,157.14544,-0.00827,54090.48373,0
1001056058075,13.69,0.06,157.14544,-0.00831,53772.32024,0
1001056058075,13.58,0.06,157.14544,-0.00822,53772.32667,0
1001056058075,13.67,0.05,157.14544,-0.00824,53773.33157,0
1001056058075,13.67,0.05,157.14548,-0.00827,53773.33837,0
1001056058075,13.67,0.05,157.14544,-0.00829,53773.34518,0
1001056058075,13.67,0.05,157.14543,-0.00828,53773.35197,0
1001056058075,13.66,0.05,157.14544,-0.00828,53788.29233,0
1001056058075,13.65,0.05,157.14546,-0.00829,53788.29934,0
1001056058075,13.65,0.05,157.14543,-0.00828,53788.30639,0
1001056058075,13.65,0.05,157.14544,-0.00825,53788.31344,0
1001056058075,13.65,0.05,157.14541,-0.00828,53741.36766,0
