# get-gator-lightcurve.py output file
# RA: 225.080579
# Dec: 16.987379
# Reference HJD(UTC?): 2454982.8111672
# Excluded (bad mag / FWHM / correction): 0
# Median absolute correction (mag): 0.0135
# HJD(UTC?) Mag  Error
0.00000 16.47000 0.03600
0.06325 16.28200 0.03600
27.94585 16.49600 0.02700
28.89127 16.30500 0.03600
38.94347 16.31200 0.03300
39.02679 16.50600 0.03400
288.07481 16.41700 0.05500
288.11886 16.28200 0.05500
382.98733 16.27800 0.02500
383.03109 16.45600 0.02500
387.98272 16.45900 0.02700
388.02593 16.50300 0.02700
393.00246 16.35900 0.02800
393.04853 16.30600 0.02900
