# get-gator-lightcurve.py output file
# RA: 226.522616
# Dec: 54.471842
# Reference HJD(UTC?): 2454907.7706072
# Excluded (bad mag / FWHM / correction): 18
# Median absolute correction (mag): 0.0110
# HJD(UTC?) Mag  Error
0.00000 16.27200 0.02300
0.18243 16.29900 0.02300
0.21911 16.27100 0.02300
26.87428 16.28800 0.02600
26.89312 16.27200 0.02500
26.90173 16.26400 0.02500
26.91051 16.28100 0.02500
26.91923 16.28200 0.02500
26.93797 16.26900 0.02500
26.96352 16.27200 0.02500
26.97157 16.28100 0.02500
26.97963 16.28100 0.02500
26.99637 16.27800 0.02500
27.00433 16.26200 0.02500
27.02377 16.27200 0.02500
27.03193 16.29500 0.02500
27.04011 16.27300 0.02500
27.04834 16.27100 0.02500
27.05657 16.27700 0.02500
27.06478 16.28300 0.02500
27.07301 16.26300 0.02500
27.08127 16.26400 0.02500
27.08954 16.27700 0.02500
27.09783 16.27400 0.02500
27.10615 16.26700 0.02500
27.11452 16.26500 0.02500
27.12284 16.25700 0.02500
27.13120 16.28100 0.02500
27.14798 16.27200 0.02500
27.15640 16.28500 0.02500
27.16484 16.27300 0.02500
27.17328 16.29000 0.02500
27.18173 16.30500 0.02500
27.19018 16.27400 0.02500
27.19867 16.27000 0.02600
27.20716 16.28100 0.02500
27.21376 16.27400 0.02500
27.22043 16.27200 0.02500
27.22710 16.28900 0.02500
27.23380 16.28800 0.02500
27.24049 16.29300 0.02500
27.24713 16.27600 0.02600
28.10636 16.24900 0.20000
28.11446 16.26500 0.20000
28.13074 16.27500 0.20000
28.13892 16.26500 0.20000
28.14709 16.25600 0.20000
28.15528 16.23300 0.20000
28.17159 16.28700 0.20000
28.17982 16.28700 0.20000
28.18805 16.27800 0.20000
28.19628 16.29500 0.20000
28.20448 16.29000 0.20000
28.21910 16.28600 0.20000
28.22553 16.28500 0.20000
28.23197 16.28300 0.20000
28.23841 16.31300 0.20000
53.94447 16.28000 0.02300
54.00190 16.27200 0.02300
54.05258 16.29000 0.02300
54.10448 16.28800 0.02300
54.16572 16.28700 0.02300
54.21554 16.30000 0.02300
60.01437 16.28200 0.02500
60.12808 16.25400 0.02500
64.02229 16.28800 0.08500
69.99857 16.28500 0.02700
70.05255 16.28900 0.02700
70.10083 16.29800 0.02700
70.14035 16.30100 0.02700
70.16901 16.29700 0.02700
70.20384 16.30500 0.02800
76.92736 16.28600 0.12500
76.98589 16.28200 0.12500
77.04507 16.27400 0.12500
77.10387 16.28100 0.12500
96.18172 16.32700 0.02800
96.18319 16.28200 0.03400
97.13120 16.29100 0.03200
97.13253 16.30600 0.02600
107.00502 16.25200 0.03400
107.14406 16.27000 0.03400
111.00632 16.28300 0.03600
112.97549 16.31300 0.03000
113.07302 16.84600 0.03400
113.96704 16.29400 0.03700
114.08057 16.27800 0.03700
116.94010 16.28400 0.03800
117.03549 16.28500 0.03800
118.95565 16.26700 0.04200
119.06812 16.27300 0.04200
121.94466 16.27200 0.04200
122.04694 16.27500 0.04200
123.97394 16.28900 0.02600
124.06100 16.30700 0.02600
124.93517 16.26600 0.04600
125.06042 16.28400 0.04600
127.93167 16.30700 0.03300
128.03181 16.29100 0.03300
130.92214 16.28000 0.02700
132.08184 16.27500 0.02800
133.94947 16.27500 0.02900
134.05943 16.27700 0.02800
134.90163 16.26400 0.02500
135.02353 16.27500 0.02500
137.90438 16.26800 0.02100
138.03032 16.32300 0.02200
141.95702 16.28600 0.02400
142.89630 16.27500 0.02500
146.04779 16.28800 0.02500
146.99333 16.28000 0.05400
147.96015 16.28800 0.03600
148.05843 16.26100 0.03300
148.94336 16.27400 0.02200
150.90544 16.27900 0.02500
151.93574 16.27600 0.02500
153.94683 16.29700 0.02400
153.96531 16.31500 0.02300
154.02239 16.28000 0.02500
154.90311 16.28200 0.02900
154.95730 17.07800 0.02700
155.92120 16.26300 0.02400
156.92388 16.30300 0.02400
156.96744 16.28800 0.02400
158.92029 16.27700 0.02800
158.96749 16.26900 0.02800
161.92054 16.25700 0.02300
161.96525 16.28600 0.02300
173.88284 16.25700 0.03200
173.90325 16.26600 0.02600
173.92992 16.26600 0.03200
173.94734 16.29400 0.02600
180.85971 16.29300 0.02700
180.90382 16.29800 0.02700
276.19116 16.26400 0.18300
276.23558 16.26000 0.18300
290.20345 16.27300 0.03600
290.24832 16.27700 0.03600
292.19405 16.26100 0.03000
292.23867 16.27400 0.02900
294.28215 16.26600 0.02600
295.18914 16.23200 0.15200
