# get-gator-lightcurve.py output file
# RA: 350.01674
# Dec: 27.106631
# Reference HJD(UTC?): 2455006.8765472
# Excluded (bad mag / FWHM / correction): 16
# Median absolute correction (mag): 0.0165
# HJD(UTC?) Mag  Error
0.00000 16.38900 0.02800
0.06951 16.38300 0.02800
2.94939 16.41300 0.03400
3.10540 16.36800 0.03400
13.11019 16.39800 0.03200
18.10674 16.43100 0.03200
18.11011 16.40900 0.03200
28.05827 16.34800 0.03300
33.85665 16.39200 0.02800
33.98088 16.40500 0.02700
39.90034 16.36100 0.04400
39.99739 16.36100 0.04400
40.89786 16.38600 0.08100
43.93979 16.35100 0.02700
44.01754 16.35400 0.02600
45.04205 16.39800 0.02300
45.07237 16.37200 0.02300
49.03591 16.42400 0.03600
54.02406 16.37300 0.02700
57.01764 16.38300 0.02700
57.79365 16.40700 0.04200
77.86904 16.38100 0.02600
77.91705 16.36200 0.02600
81.96204 16.36900 0.02900
116.78610 16.37200 0.02300
116.83039 16.38400 0.02300
344.09095 16.36100 0.06700
345.10527 16.35300 0.05700
410.89959 16.37500 0.29900
410.94294 16.39900 0.29900
413.92046 16.38300 0.14700
413.96381 16.36800 0.14700
423.08953 16.37500 0.02700
430.78564 16.33400 0.03200
433.91021 16.35200 0.02800
436.87441 16.39300 0.02500
436.91784 16.37900 0.02500
439.87579 16.38600 0.02700
460.86746 16.35400 0.06600
464.73941 16.37300 0.07900
464.78228 16.37600 0.07900
471.75127 16.39700 0.02600
471.79523 16.38900 0.02600
478.89964 16.40200 0.03400
491.73009 16.36900 0.21900
491.77347 16.35400 0.21900
1435.00080 16.37900 0.03300
1435.03835 16.35800 0.03000
1530.78180 16.39900 0.02300
1531.06565 16.38500 0.02200
1538.85322 16.38800 0.05000
1539.04033 16.36400 0.05000
1593.74887 16.39300 0.06900
1593.94212 16.33000 0.06900
1593.96769 16.32300 0.06900
1599.75589 16.36300 0.32100
