wave flux_0kms flux_-120kms flux_-130kms flux_-140kms flux_-150kms ISM_attenuation
1.212435000000009495e+03 8.271049882701591482e-18 5.485510617232403965e-17 6.333679163189807395e-17 7.297380697953710871e-17 8.389766819461087929e-17 9.636106952380505408e-01
1.212440000000009604e+03 8.446623983955342664e-18 5.584269330984549974e-17 6.446009199787096492e-17 7.424845637312153275e-17 8.534063706617784554e-17 9.636106952380505408e-01
1.212445000000009713e+03 8.625644833010225169e-18 5.684621351469941290e-17 6.560118301494166897e-17 7.554291584663086177e-17 8.680560334089358129e-17 9.636106952380505408e-01
1.212450000000009823e+03 8.808173725312094884e-18 5.786588731635305061e-17 6.676030481301519615e-17 7.685744592393435038e-17 8.829284861674906053e-17 9.636106952380505408e-01
1.212455000000009932e+03 8.994272908857261325e-18 5.890193761501725300e-17 6.793769999586756005e-17 7.819230969328487505e-17 8.980265713086067658e-17 9.636106952380505408e-01
1.212460000000010041e+03 9.184005596174287935e-18 5.995458969494364703e-17 6.913361365305016953e-17 7.954777281745372605e-17 9.133531576743079771e-17 9.636106952380505408e-01
1.212465000000010150e+03 9.377435976400782313e-18 6.102407123756957132e-17 7.034829337159694367e-17 8.092410354361970604e-17 9.289111406541079893e-17 9.636106952380505408e-01
1.212470000000010259e+03 9.574629227454859006e-18 6.211061233450500694e-17 7.158198924752808547e-17 8.232157271300665616e-17 9.447034422586055495e-17 9.636106952380505408e-01
1.212475000000010368e+03 9.775651528300829574e-18 6.321444550035664545e-17 7.283495389714539899e-17 8.374045377026272863e-17 9.607330111899664120e-17 9.636106952380505408e-01
1.212480000000010477e+03 9.980570071308662333e-18 6.433580568538316528e-17 7.410744246811287620e-17 8.518102277257502129e-17 9.770028229092379481e-17 9.636106952380505408e-01
1.212485000000010587e+03 1.018945307470681426e-17 6.547493028797644110e-17 7.539971265031595897e-17 8.664355839851333691e-17 9.935158797004174714e-17 9.636106952380505408e-01
1.212490000000010696e+03 1.040236979512791740e-17 6.663205916696323795e-17 7.671202468649527314e-17 8.812834195659752085e-17 1.010275210731221151e-16 9.636106952380505408e-01
1.212495000000010805e+03 1.061939054024678042e-17 6.780743465372176964e-17 7.804464138264647763e-17 8.963565739357992114e-17 1.027283872110462796e-16 9.636106952380505408e-01
1.212500000000010914e+03 1.084058668151012924e-17 6.900130156410710628e-17 7.939782811818207484e-17 9.116579130243885451e-17 1.044544946942002819e-16 9.636106952380505408e-01
1.212505000000011023e+03 1.106603066695757345e-17 7.021390721018048820e-17 8.077185285584773733e-17 9.271903293007449912e-17 1.062061545375175801e-16 9.636106952380505408e-01
1.212510000000011132e+03 1.129579603413307772e-17 7.144550141173528640e-17 8.216698615138785072e-17 9.429567418470166757e-17 1.079836804651639462e-16 9.636106952380505408e-01
1.212515000000011241e+03 1.152995742308637089e-17 7.269633650761615809e-17 8.358350116295323465e-17 9.589600964293313689e-17 1.097873889148563930e-16 9.636106952380505408e-01
1.212520000000011350e+03 1.176859058946353652e-17 7.396666736682285562e-17 8.502167366024532257e-17 9.752033655654594271e-17 1.116175990418116206e-16 9.636106952380505408e-01
1.212525000000011460e+03 1.201177241768607758e-17 7.525675139939478131e-17 8.648178203339024296e-17 9.916895485892426512e-17 1.134746327223134050e-16 9.636106952380505408e-01
1.212530000000011569e+03 1.225958093421772639e-17 7.656684856706913924e-17 8.796410730153635547e-17 1.008421671711724228e-16 1.153588145568953320e-16 9.636106952380505408e-01
1.212535000000011678e+03 1.251209532091812955e-17 7.789722139370702634e-17 8.946893312116884490e-17 1.025402788078914424e-16 1.172704718731292601e-16 9.636106952380505408e-01
1.212540000000011787e+03 1.276939592848268812e-17 7.924813497548200236e-17 9.099654579413465524e-17 1.042635977826109825e-16 1.192099347280142990e-16 9.636106952380505408e-01
1.212545000000011896e+03 1.303156428996752084e-17 8.061985699082331187e-17 9.254723427537183510e-17 1.060124348128713971e-16 1.211775359099574922e-16 9.636106952380505408e-01
1.212550000000012005e+03 1.329868313439881847e-17 8.201265771010928373e-17 9.412129018033604688e-17 1.077871033249482484e-16 1.231736109403408394e-16 9.636106952380505408e-01
1.212555000000012114e+03 1.357083640046553088e-17 8.342681000510389482e-17 9.571900779211785469e-17 1.095879194582123657e-16 1.251984980746656624e-16 9.636106952380505408e-01
1.212560000000012224e+03 1.384810925029438996e-17 8.486258935813026093e-17 9.734068406824418450e-17 1.114152020691183508e-16 1.272525383032684967e-16 9.636106952380505408e-01
1.212565000000012333e+03 1.413058808330634995e-17 8.632027387097441119e-17 9.898661864715736203e-17 1.132692727348147257e-16 1.293360753516014329e-16 9.636106952380505408e-01
1.212570000000012442e+03 1.441836055015327292e-17 8.780014427351378704e-17 1.006571138543647765e-16 1.151504557563694989e-16 1.314494556800676144e-16 9.636106952380505408e-01
1.212575000000012551e+03 1.471151556673375146e-17 8.930248393206297148e-17 1.023524747082520706e-16 1.170590781616019049e-16 1.335930284834076760e-16 9.636106952380505408e-01
1.212580000000012660e+03 1.501014332828711787e-17 9.082757885743115141e-17 1.040730089255540388e-16 1.189954697075155588e-16 1.357671456896271649e-16 9.636106952380505408e-01
1.212585000000012769e+03 1.531433532356416097e-17 9.237571771268380625e-17 1.058190269264750002e-16 1.209599628823247451e-16 1.379721619584595923e-16 9.636106952380505408e-01
1.212590000000012878e+03 1.562418434907351951e-17 9.394719182060337240e-17 1.075908418394531365e-16 1.229528929070669472e-16 1.402084346793566631e-16 9.636106952380505408e-01
1.212595000000012988e+03 1.593978452340242270e-17 9.554229517084025492e-17 1.093887695055608686e-16 1.249745977367941015e-16 1.424763239689989261e-16 9.636106952380505408e-01
1.212600000000013097e+03 1.626123130161050823e-17 9.716132442674951527e-17 1.112131284825344326e-16 1.270254180613358700e-16 1.447761926683195255e-16 9.636106952380505408e-01
1.212605000000013206e+03 1.658862148969522938e-17 9.880457893190606117e-17 1.130642400484264039e-16 1.291056973056282496e-16 1.471084063390332125e-16 9.636106952380505408e-01
1.212610000000013315e+03 1.692205325912770190e-17 1.004723607162901543e-16 1.149424282048729868e-16 1.312157816295983496e-16 1.494733332596643571e-16 9.636106952380505408e-01
1.212615000000013424e+03 1.726162616145720639e-17 1.021649745021385025e-16 1.168480196799702261e-16 1.333560199276001588e-16 1.518713444210654045e-16 9.636106952380505408e-01
1.212620000000013533e+03 1.760744114298318149e-17 1.038827277094525675e-16 1.187813439307508453e-16 1.355267638273932415e-16 1.543028135214195398e-16 9.636106952380505408e-01
1.212625000000013642e+03 1.795960055949300991e-17 1.056259304611582819e-16 1.207427331452557704e-16 1.377283676886571649e-16 1.567681169607194258e-16 9.636106952380505408e-01
1.212630000000013752e+03 1.831820819106393631e-17 1.073948955879096824e-16 1.227325222441924148e-16 1.399611886010333243e-16 1.592676338347151609e-16 9.636106952380505408e-01
1.212635000000013861e+03 1.868336925692774593e-17 1.091899386325292351e-16 1.247510488821723522e-16 1.422255863816897294e-16 1.618017459283243077e-16 9.636106952380505408e-01
1.212640000000013970e+03 1.905519043039622556e-17 1.110113778540791467e-16 1.267986534485227094e-16 1.445219235723976586e-16 1.643708377084957092e-16 9.636106952380505408e-01
1.212645000000014079e+03 1.943377985384597700e-17 1.128595342315550701e-16 1.288756790676617138e-16 1.468505654361156691e-16 1.669752963165213984e-16 9.636106952380505408e-01
1.212650000000014188e+03 1.981924715376052465e-17 1.147347314671965098e-16 1.309824715990335873e-16 1.492118799530734204e-16 1.696155115597873565e-16 9.636106952380505408e-01
1.212655000000014297e+03 2.021170345582817957e-17 1.166372959894061372e-16 1.331193796365935189e-16 1.516062378163460660e-16 1.722918759029582389e-16 9.636106952380505408e-01
1.212660000000014406e+03 2.061126140009358609e-17 1.185675569552708796e-16 1.352867545078372424e-16 1.540340124269139872e-16 1.750047844585860846e-16 9.636106952380505408e-01
1.212665000000014516e+03 2.101803515616107751e-17 1.205258462526781498e-16 1.374849502723663451e-16 1.564955798881996358e-16 1.777546349771380545e-16 9.636106952380505408e-01
1.212670000000014625e+03 2.143214043844801047e-17 1.225124985020203779e-16 1.397143237199832675e-16 1.589913190000738671e-16 1.805418278364351121e-16 9.636106952380505408e-01
1.212675000000014734e+03 2.185369452148581301e-17 1.245278510574786109e-16 1.419752343683072417e-16 1.615216112523257744e-16 1.833667660304935122e-16 9.636106952380505408e-01
1.212680000000014843e+03 2.228281625526698386e-17 1.265722440078816562e-16 1.442680444599068815e-16 1.640868408175864832e-16 1.862298551577640926e-16 9.636106952380505408e-01
1.212685000000014952e+03 2.271962608063557453e-17 1.286460201771296510e-16 1.465931189589375881e-16 1.666873945437024441e-16 1.891315034087597798e-16 9.636106952380505408e-01
1.212690000000015061e+03 2.316424604471933011e-17 1.307495251241773476e-16 1.489508255472806434e-16 1.693236619455481410e-16 1.920721215530663533e-16 9.636106952380505408e-01
1.212695000000015170e+03 2.361679981640105735e-17 1.328831071425696968e-16 1.513415346201743255e-16 1.719960351962729894e-16 1.950521229257275443e-16 9.636106952380505408e-01
1.212700000000015280e+03 2.407741270182687819e-17 1.350471172595211733e-16 1.537656192813302437e-16 1.747049091179742396e-16 1.980719234129987995e-16 9.636106952380505408e-01
1.212705000000015389e+03 2.454621165994936876e-17 1.372419092345324827e-16 1.562234553375280878e-16 1.774506811717884889e-16 2.011319414374619443e-16 9.636106952380505408e-01
1.212710000000015498e+03 2.502332531810275827e-17 1.394678395575377008e-16 1.587154212926809786e-16 1.802337514473955422e-16 2.042325979424937194e-16 9.636106952380505408e-01
1.212715000000015607e+03 2.550888398760817540e-17 1.417252674465738298e-16 1.612418983413637268e-16 1.830545226519258695e-16 2.073743163760822256e-16 9.636106952380505408e-01
1.212720000000015716e+03 2.600301967940610430e-17 1.440145548449655267e-16 1.638032703617980845e-16 1.859134000982665558e-16 2.105575226739817601e-16 9.636106952380505408e-01
1.212725000000015825e+03 2.650586611971381288e-17 1.463360664180184939e-16 1.663999239082859425e-16 1.888107916927562796e-16 2.137826452422039755e-16 9.636106952380505408e-01
1.212730000000015934e+03 2.701755876570472757e-17 1.486901695492130040e-16 1.690322482030845555e-16 1.917471079222639433e-16 2.170501149388329341e-16 9.636106952380505408e-01
1.212735000000016043e+03 2.753823482120776369e-17 1.510772343358913446e-16 1.717006351277156373e-16 1.947227618406434633e-16 2.203603650551610777e-16 9.636106952380505408e-01
1.212740000000016153e+03 2.806803325242320040e-17 1.534976335844312222e-16 1.744054792137018163e-16 1.977381690545565097e-16 2.237138312961382468e-16 9.636106952380505408e-01
1.212745000000016262e+03 2.860709480365266576e-17 1.559517428048980252e-16 1.771471776327226372e-16 2.007937477086583149e-16 2.271109517601272905e-16 9.636106952380505408e-01
1.212750000000016371e+03 2.915556201304052633e-17 1.584399402051687959e-16 1.799261301861825910e-16 2.038899184701371338e-16 2.305521669179586271e-16 9.636106952380505408e-01
1.212755000000016480e+03 2.971357922832356918e-17 1.609626066845198516e-16 1.827427392941855510e-16 2.070271045126027701e-16 2.340379195912793148e-16 9.636106952380505408e-01
1.212760000000016589e+03 3.028129262258603013e-17 1.635201258266716196e-16 1.855974099839061246e-16 2.102057314993150739e-16 2.375686549301881059e-16 9.636106952380505408e-01
1.212765000000016698e+03 3.085885021001721977e-17 1.661128838922836612e-16 1.884905498773526955e-16 2.134262275657474769e-16 2.411448203901508128e-16 9.636106952380505408e-01
1.212770000000016807e+03 3.144640186166844074e-17 1.687412698108909602e-16 1.914225691785140689e-16 2.166890233014768670e-16 2.447668657081904645e-16 9.636106952380505408e-01
1.212775000000016917e+03 3.204409932120625649e-17 1.714056751722757815e-16 1.943938806598827940e-16 2.199945517313946466e-16 2.484352428783443152e-16 9.636106952380505408e-01
1.212780000000017026e+03 3.265209622065870349e-17 1.741064942172674574e-16 1.974048996483481118e-16 2.233432482962318277e-16 2.521504061263834658e-16 9.636106952380505408e-01
1.212785000000017135e+03 3.327054809615155630e-17 1.768441238279622626e-16 2.004560440104519235e-16 2.267355508323905703e-16 2.559128118837865671e-16 9.636106952380505408e-01
1.212790000000017244e+03 3.389961240363113897e-17 1.796189635173566480e-16 2.035477341369998148e-16 2.301718995510765684e-16 2.597229187609642051e-16 9.636106952380505408e-01
1.212795000000017353e+03 3.453944853457023752e-17 1.824314154183871524e-16 2.066803929270208270e-16 2.336527370167258732e-16 2.635811875197260277e-16 9.636106952380505408e-01
1.212800000000017462e+03 3.519021783165392722e-17 1.852818842723682655e-16 2.098544457710696133e-16 2.371785081247179949e-16 2.674880810449857341e-16 9.636106952380505408e-01
1.212805000000017571e+03 3.585208360444186359e-17 1.881707774168230651e-16 2.130703205338625008e-16 2.407496600783719301e-16 2.714440643156971220e-16 9.636106952380505408e-01
1.212810000000017681e+03 3.652521114500326513e-17 1.910985047726973102e-16 2.163284475362428242e-16 2.443666423652155984e-16 2.754496043750172478e-16 9.636106952380505408e-01
1.212815000000017790e+03 3.720976774352110593e-17 1.940654788309522322e-16 2.196292595364658166e-16 2.480299067325235127e-16 2.795051702996894036e-16 9.636106952380505408e-01
