Name,xmmextractor,spectrum,flux,flux_err_lower,flux_err_upper
UZ Sex,y,y,5.56E+27,1.31E+27,4.21E+26
CC Cet,n,n,-1.08E+28,0,0
LM com,y,n,-5.60E+28,0,0
EG Uma,y,y,8.23E+28,3.10E+27,3.10E+27
EGGR 38,y,y,5.07E+28,9.84E+26,7.80E+26
WD 1339+606,y,n,-9.00E+28,0,0
WD 1436-216,y,y,5.07E+28,9.84E+26,7.80E+26
WD 1458+171,y,y,3.70E+28,1.18E+28,8.42E+27
WD 1504+546,y,y,9.26E+28,3.62E+28,3.74E+28
WD 2317+268,y,n,-2.40E+28,0,0
V727 Car,y,y,3.24E+27,2.72E+26,2.80E+26
WD 0137-349,y,n,-6.30E+27,0,0
