wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1205.3500,0,3.2505,4.3112e-09,0.93716,4.1877
1205.4000,0,3.2505,4.3122e-09,0.9383,4.1888
1205.4500,0,3.2505,4.3132e-09,0.9426,4.1931
1205.5000,0,3.2505,4.3142e-09,0.97009,4.2206
1205.5500,0,3.2505,4.3152e-09,1.128,4.3785
1205.6000,0,3.2505,4.3162e-09,1.8398,5.0903
1205.6500,0,3.2505,4.3172e-09,4.2835,7.534
1205.7000,0,3.2505,4.3182e-09,10.845,14.096
1205.7500,0,3.2505,4.3192e-09,23.794,27.045
1205.8000,0,3.2505,4.3202e-09,42.166,45.417
1205.8500,0,3.2505,4.3211e-09,59.148,62.398
1205.9000,0,3.2505,4.3221e-09,65.287,68.538
1205.9500,0,3.2505,4.3231e-09,56.64,59.891
1206.0000,0,3.2505,4.324e-09,38.691,41.941
1206.0500,0,3.2505,4.325e-09,20.966,24.216
1206.1000,0,3.2505,4.3259e-09,9.2454,12.496
1206.1500,0,3.2505,4.3269e-09,3.6211,6.8716
1206.2000,0,3.2505,4.3279e-09,1.5991,4.8496
1206.2500,0,3.2505,4.3288e-09,1.0461,4.2966
1206.3000,0,3.2505,4.3297e-09,0.93047,4.181
1206.3500,0,3.2505,4.3307e-09,0.91231,4.1628
1206.4000,0,3.2505,4.3316e-09,0.91068,4.1612
1206.4500,0,3.2505,4.3325e-09,0.9112,4.1617
1206.5000,0,3.2505,4.3335e-09,0.91193,4.1624
1206.5500,0,3.2505,4.3344e-09,0.91267,4.1632
1206.6000,0,3.2505,4.3353e-09,0.89185,4.1423
1206.6500,0,3.2505,4.3362e-09,0.87562,4.1261
1206.7000,0,3.2505,4.3371e-09,0.87634,4.1268
1206.7500,0,3.2505,4.3381e-09,0.87706,4.1276
1206.8000,0,3.2505,4.339e-09,0.87777,4.1283
1206.8500,0,3.2505,4.3399e-09,0.87849,4.129
1206.9000,0,3.2505,4.3408e-09,0.8792,4.1297
1206.9500,0,3.2505,4.3417e-09,0.87992,4.1304
1207.0000,0,3.2505,4.3426e-09,0.88064,4.1311
1207.0500,0,3.2505,4.3434e-09,0.88135,4.1319
1207.1000,0,3.2505,4.3443e-09,0.88207,4.1326
1207.1500,0,3.2505,4.3452e-09,0.88278,4.1333
1207.2000,0,3.2505,4.3461e-09,0.8835,4.134
1207.2500,0,3.2505,4.347e-09,0.88422,4.1347
1207.3000,0,3.2505,4.3478e-09,0.88493,4.1354
1207.3500,0,3.2505,4.3487e-09,0.88565,4.1361
1207.4000,0,3.2505,4.3496e-09,0.88637,4.1369
1207.4500,0,3.2505,4.3504e-09,0.88708,4.1376
1207.5000,0,3.2505,4.3513e-09,0.8878,4.1383
1207.5500,0,3.2505,4.3521e-09,0.8796,4.1301
1207.6000,0,3.2505,4.353e-09,0.82873,4.0792
1207.6500,0,3.2505,4.3538e-09,0.82913,4.0796
1207.7000,0,3.2505,4.3547e-09,0.8298,4.0803
1207.7500,0,3.2505,4.3555e-09,0.83047,4.081
1207.8000,0,3.2505,4.3563e-09,0.83114,4.0816
1207.8500,0,3.2505,4.3572e-09,0.83181,4.0823
1207.9000,0,3.2505,4.358e-09,0.83247,4.083
1207.9500,0,3.2505,4.3588e-09,0.83314,4.0836
1208.0000,0,3.2505,4.3596e-09,0.83381,4.0843
1208.0500,0,3.2505,4.3605e-09,0.83448,4.085
1208.1000,0,3.2505,4.3613e-09,0.83514,4.0856
1208.1500,0,3.2505,4.3621e-09,0.83581,4.0863
1208.2000,0,3.2505,4.3629e-09,0.83648,4.087
1208.2500,0,3.2505,4.3637e-09,0.83715,4.0876
1208.3000,0,3.2505,4.3645e-09,0.83782,4.0883
1208.3500,0,3.2505,4.3653e-09,0.83848,4.089
1208.4000,0,3.2505,4.3661e-09,0.83915,4.0897
1208.4500,0,3.2505,4.3668e-09,0.83982,4.0903
1208.5000,0,3.2505,4.3676e-09,0.84049,4.091
1208.5500,0,3.2505,4.3684e-09,0.84116,4.0917
1208.6000,0,3.2505,4.3692e-09,0.83699,4.0875
1208.6500,0,3.2505,4.37e-09,0.82085,4.0714
1208.7000,0,3.2505,4.3707e-09,0.82197,4.0725
1208.7500,0,3.2505,4.3715e-09,0.82262,4.0731
1208.8000,0,3.2505,4.3722e-09,0.82327,4.0738
1208.8500,0,3.2505,4.373e-09,0.82393,4.0744
1208.9000,0,3.2505,4.3738e-09,0.82458,4.0751
1208.9500,0,3.2505,4.3745e-09,0.82523,4.0757
1209.0000,0,3.2505,4.3752e-09,0.87069,4.1212
1209.0500,0,3.2505,4.376e-09,0.82535,4.0758
1209.1000,0,3.2505,4.3767e-09,0.826,4.0765
1209.1500,0,3.2505,4.3775e-09,0.82665,4.0771
1209.2000,0,3.2505,4.3782e-09,0.8273,4.0778
1209.2500,0,3.2505,4.3789e-09,0.82795,4.0785
1209.3000,0,3.2505,4.3796e-09,0.8286,4.0791
1209.3500,0,3.2505,4.3804e-09,0.82925,4.0798
1209.4000,0,3.2505,4.3811e-09,0.8299,4.0804
1209.4500,0,3.2505,4.3818e-09,0.83055,4.0811
1209.5000,0,3.2505,4.3825e-09,0.8312,4.0817
1209.5500,0,3.2505,4.3832e-09,0.83185,4.0824
1209.6000,0,3.2505,4.3839e-09,0.8325,4.083
1209.6500,0,3.2505,4.3846e-09,0.83316,4.0837
1209.7000,0,3.2505,4.3853e-09,0.83381,4.0843
1209.7500,0,3.2505,4.386e-09,0.82964,4.0801
1209.8000,0,3.2505,4.3867e-09,0.79156,4.0421
1209.8500,0,3.2505,4.3873e-09,0.79144,4.0419
1209.9000,0,3.2505,4.388e-09,0.79206,4.0426
1209.9500,0,3.2505,4.3887e-09,0.79267,4.0432
1210.0000,0,3.2505,4.3894e-09,0.79329,4.0438
1210.0500,0,3.2505,4.39e-09,0.79391,4.0444
1210.1000,0,3.2505,4.3907e-09,0.79452,4.045
1210.1500,0,3.2505,4.3914e-09,0.79514,4.0456
1210.2000,0,3.2505,4.392e-09,0.79561,4.0461
1210.2500,0,3.2505,4.3927e-09,0.77611,4.0266
1210.3000,0,3.2505,4.3933e-09,0.7743,4.0248
1210.3500,0,3.2505,4.3939e-09,0.7749,4.0254
1210.4000,0,3.2505,4.3946e-09,0.7755,4.026
1210.4500,0,3.2505,4.3952e-09,0.7761,4.0266
1210.5000,0,3.2505,4.3959e-09,0.7767,4.0272
1210.5500,0,3.2505,4.3965e-09,0.7773,4.0278
1210.6000,0,3.2505,4.3971e-09,0.7779,4.0284
1210.6500,0,3.2505,4.3977e-09,0.77849,4.029
1210.7000,0,3.2505,4.3983e-09,0.7625,4.013
1210.7500,0,3.2505,4.399e-09,0.75597,4.0065
1210.8000,0,3.2505,4.3996e-09,0.75655,4.0071
1210.8500,0,3.2505,4.4002e-09,0.75713,4.0076
1210.9000,0,3.2505,4.4008e-09,0.75771,4.0082
1210.9500,0,3.2505,4.4014e-09,0.75829,4.0088
1211.0000,0,3.2505,4.402e-09,0.75887,4.0094
1211.0500,0,3.2505,4.4025e-09,0.75945,4.01
1211.1000,0,3.2505,4.4031e-09,0.76003,4.0105
1211.1500,0,3.2505,4.4037e-09,0.74811,3.9986
1211.2000,0,3.2505,4.4043e-09,0.73601,3.9865
1211.2500,0,3.2505,4.4049e-09,0.73657,3.9871
1211.3000,0,3.2505,4.4054e-09,0.73714,3.9876
1211.3500,0,3.2505,4.406e-09,0.7377,3.9882
1211.4000,0,3.2505,4.4066e-09,0.73826,3.9888
1211.4500,0,3.2505,4.4071e-09,0.73882,3.9893
1211.5000,0,3.2505,4.4077e-09,0.73938,3.9899
1211.5500,0,3.2505,4.4082e-09,0.73994,3.9904
1211.6000,0,3.2505,4.4088e-09,0.7405,3.991
1211.6500,0,3.2505,4.4093e-09,0.72382,3.9743
1211.7000,0,3.2505,4.4099e-09,0.71441,3.9649
1211.7500,0,3.2505,4.4104e-09,0.71495,3.9655
